0083 | loss 35027291.99 | recon 34113034.83 | kl 228564.29 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 84 | batch 0/844 | loss 40925.2383
  epoch 84 | batch 50/844 | loss 40992.4102
  epoch 84 | batch 100/844 | loss 40946.9609
  epoch 84 | batch 150/844 | loss 60062.6523
  epoch 84 | batch 200/844 | loss 32143.3691
  epoch 84 | batch 250/844 | loss 37444.9297
  epoch 84 | batch 300/844 | loss 35956.4531
  epoch 84 | batch 350/844 | loss 37841.9531
  epoch 84 | batch 400/844 | loss 37326.1797
  epoch 84 | batch 450/844 | loss 48734.0859
  epoch 84 | batch 500/844 | loss 50412.6250
  epoch 84 | batch 550/844 | loss 34709.8984
  epoch 84 | batch 600/844 | loss 29743.5293
  epoch 84 | batch 650/844 | loss 40533.7812
  epoch 84 | batch 700/844 | loss 45917.8125
  epoch 84 | batch 750/844 | loss 41786.5039
  epoch 84 | batch 800/844 | loss 44726.5117
0084 | loss 34921888.46 | recon 34020202.88 | kl 225421.40 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 85 | batch 0/844 | loss 43197.6992
  epoch 85 | batch 50/844 | loss 33584.1836
  epoch 85 | batch 100/844 | loss 42079.3750
  epoch 85 | batch 150/844 | loss 44029.5156
  epoch 85 | batch 200/844 | loss 31211.7910
  epoch 85 | batch 250/844 | loss 31731.0391
  epoch 85 | batch 300/844 | loss 51640.1758
  epoch 85 | batch 350/844 | loss 44699.7266
  epoch 85 | batch 400/844 | loss 32605.4629
  epoch 85 | batch 450/844 | loss 37048.7734
  epoch 85 | batch 500/844 | loss 31772.1465
  epoch 85 | batch 550/844 | loss 40502.8828
  epoch 85 | batch 600/844 | loss 44556.7344
  epoch 85 | batch 650/844 | loss 45234.8359
  epoch 85 | batch 700/844 | loss 51500.0273
  epoch 85 | batch 750/844 | loss 34501.0938
  epoch 85 | batch 800/844 | loss 36001.7773
0085 | loss 34435234.27 | recon 33524016.37 | kl 227804.48 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 86 | batch 0/844 | loss 45889.6523
  epoch 86 | batch 50/844 | loss 57795.3086
  epoch 86 | batch 100/844 | loss 54961.4141
  epoch 86 | batch 150/844 | loss 35222.8047
  epoch 86 | batch 200/844 | loss 46041.8477
  epoch 86 | batch 250/844 | loss 36760.6758
  epoch 86 | batch 300/844 | loss 38478.7344
  epoch 86 | batch 350/844 | loss 51202.8828
  epoch 86 | batch 400/844 | loss 49372.8945
  epoch 86 | batch 450/844 | loss 36383.8945
  epoch 86 | batch 500/844 | loss 50906.5391
  epoch 86 | batch 550/844 | loss 42180.0312
  epoch 86 | batch 600/844 | loss 31593.5508
  epoch 86 | batch 650/844 | loss 30124.1895
  epoch 86 | batch 700/844 | loss 41394.3086
  epoch 86 | batch 750/844 | loss 41996.7344
  epoch 86 | batch 800/844 | loss 39685.1328
0086 | loss 34679265.86 | recon 33806683.35 | kl 218145.63 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 87 | batch 0/844 | loss 41947.7422
  epoch 87 | batch 50/844 | loss 42538.7734
  epoch 87 | batch 100/844 | loss 38795.2852
  epoch 87 | batch 150/844 | loss 41170.1172
  epoch 87 | batch 200/844 | loss 46428.2422
  epoch 87 | batch 250/844 | loss 41749.1914
  epoch 87 | batch 300/844 | loss 48202.1445
  epoch 87 | batch 350/844 | loss 46692.7344
  epoch 87 | batch 400/844 | loss 52519.2969
  epoch 87 | batch 450/844 | loss 34517.1133
  epoch 87 | batch 500/844 | loss 31693.0273
  epoch 87 | batch 550/844 | loss 42894.8633
  epoch 87 | batch 600/844 | loss 32859.4883
  epoch 87 | batch 650/844 | loss 46194.7773
  epoch 87 | batch 700/844 | loss 50350.9219
  epoch 87 | batch 750/844 | loss 34762.6953
  epoch 87 | batch 800/844 | loss 51272.3203
0087 | loss 34828547.79 | recon 33945826.57 | kl 220680.30 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 88 | batch 0/844 | loss 30124.6992
  epoch 88 | batch 50/844 | loss 37352.8711
  epoch 88 | batch 100/844 | loss 31356.0586
  epoch 88 | batch 150/844 | loss 34493.0117
  epoch 88 | batch 200/844 | loss 39562.6797
  epoch 88 | batch 250/844 | loss 40938.1055
  epoch 88 | batch 300/844 | loss 39545.0977
  epoch 88 | batch 350/844 | loss 37591.1758
  epoch 88 | batch 400/844 | loss 31997.1152
  epoch 88 | batch 450/844 | loss 41778.7344
  epoch 88 | batch 500/844 | loss 78687.2344
  epoch 88 | batch 550/844 | loss 38240.1211
  epoch 88 | batch 600/844 | loss 57003.1602
  epoch 88 | batch 650/844 | loss 46130.5664
  epoch 88 | batch 700/844 | loss 32496.4922
  epoch 88 | batch 750/844 | loss 38943.7930
  epoch 88 | batch 800/844 | loss 53163.0469
0088 | loss 34602080.01 | recon 33724417.66 | kl 219415.60 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 89 | batch 0/844 | loss 37153.9336
  epoch 89 | batch 50/844 | loss 43813.1484
  epoch 89 | batch 100/844 | loss 37434.1562
  epoch 89 | batch 150/844 | loss 49196.6914
  epoch 89 | batch 200/844 | loss 39234.2891
  epoch 89 | batch 250/844 | loss 38213.9492
  epoch 89 | batch 300/844 | loss 33281.0625
  epoch 89 | batch 350/844 | loss 47557.6680
  epoch 89 | batch 400/844 | loss 52327.4961
  epoch 89 | batch 450/844 | loss 34366.3203
  epoch 89 | batch 500/844 | loss 44374.2109
  epoch 89 | batch 550/844 | loss 36438.5312
  epoch 89 | batch 600/844 | loss 38033.3828
  epoch 89 | batch 650/844 | loss 38680.2188
  epoch 89 | batch 700/844 | loss 33443.1484
  epoch 89 | batch 750/844 | loss 33420.9688
  epoch 89 | batch 800/844 | loss 51971.7734
0089 | loss 34518834.85 | recon 33639702.68 | kl 219783.05 | sin 0.00 | beta 4.000 | sin_w 0.0000
